iter	Passed	Remaining
1404	57138	90323
1405	57168	90266
1406	57200	90211
1407	57234	90160
1408	57262	90099
1409	57297	90050
1410	57334	90004
1411	57380	89971
1412	57424	89936
1413	57476	89913
1414	57504	89852
1415	57537	89800
1416	57594	89785
1417	57633	89742
1418	57670	89696
1419	57708	89651
1420	57741	89598
1421	57778	89552
1422	57827	89524
1423	57879	89501
1424	57910	89446
1425	57956	89414
1426	58008	89391
1427	58055	89360
1428	58079	89293
1429	58116	89247
1430	58164	89218
1431	58217	89196
1432	58253	89149
1433	58298	89115
1434	58336	89069
1435	58373	89023
1436	58411	88979
1437	58455	88943
1438	58492	88897
1439	58525	88844
1440	58561	88797
1441	58608	88765
1442	58651	88729
1443	58681	88672
1444	58718	88625
1445	58765	88595
1446	58797	88540
1447	58843	88508
1448	58875	88456
1449	58919	88419
1450	58949	88363
1451	58995	88330
1452	59028	88278
1453	59072	88242
1454	59108	88195
1455	59149	88155
1456	59183	88104
1457	59226	88067
1458	59274	88037
1459	59309	87989
1460	59347	87945
1461	59390	87908
1462	59430	87866
1463	59467	87820
1464	59504	87774
1465	59545	87734
1466	59570	87671
1467	59608	87625
1468	59648	87584
1469	59685	87538
1470	59718	87486
1471	59758	87445
1472	59803	87411
1473	59846	87374
1474	59879	87323
1475	59920	87282
1476	59953	87231
1477	59994	87191
1478	60038	87154
1479	60084	87122
1480	60127	87085
1481	60164	87039
1482	60206	87000
1483	60253	86969
1484	60286	86918
1485	60318	86865
1486	60360	86826
1487	60390	86771
1488	60430	86729
1489	60460	86674
1490	60495	86625
1491	60531	86577
1492	60570	86535
1493	60605	86487
1494	60633	86428
1495	60673	86386
1496	60706	86335
1497	60751	86301
1498	60786	86253
1499	60824	86209
1500	60877	86185
1501	60914	86139
1502	60961	86108
1503	60999	86064
1504	61059	86051
1505	61101	86012
1506	61142	85973
1507	61183	85932
1508	61235	85907
1509	61281	85875
1510	61327	85842
1511	61368	85802
1512	61415	85771
1513	61449	85721
1514	61496	85689
1515	61533	85643
1516	61578	85609
1517	61636	85593
1518	61676	85551
1519	61711	85502
1520	61751	85461
1521	61785	85412
1522	61818	85360
1523	61851	85310
1524	61888	85263
1525	61944	85244
1526	61979	85196
1527	62017	85151
1528	62065	85121
1529	62102	85076
1530	62138	85029
1531	62185	84997
1532	62223	84953
1533	62269	84919
1534	62313	84883
1535	62350	84838
1536	62388	84794
1537	62425	84749
1538	62460	84700
1539	62496	84654
1540	62538	84615
1541	62574	84569
1542	62614	84527
1543	62649	84479
1544	62683	84429
1545	62716	84379
1546	62745	84323
1547	62799	84300
1548	62845	84267
1549	62883	84223
1550	62935	84198
1551	62974	84155
1552	63004	84100
1553	63053	84071
1554	63109	84051
1555	63143	84001
1556	63170	83943
1557	63200	83888
1558	63244	83852
1559	63284	83811
1560	63328	83775
1561	63369	83735
1562	63420	83708
1563	63459	83666
1564	63498	83623
1565	63537	83580
1566	63572	83532
1567	63603	83479
1568	63657	83456
1569	63700	83419
1570	63724	83356
1571	63755	83304
1572	63789	83255
1573	63830	83214
1574	63859	83159
1575	63896	83113
1576	63924	83057
1577	63961	83012
1578	63998	82966
1579	64027	82911
1580	64059	82859
1581	64101	82821
1582	64144	82783
1583	64175	82731
1584	64221	82698
1585	64258	82652
1586	64286	82595
1587	64339	82571
1588	64376	82526
1589	64410	82478
1590	64454	82441
1591	64475	82376
1592	64515	82334
1593	64562	82303
1594	64594	82251
1595	64631	82206
1596	64675	82170
1597	64712	82125
